gene_id,gene_name,gene_biotype,count
AT1G04347,null,lncRNA,0
AT1G04350,null,protein_coding,2
AT1G04353,null,lncRNA,0
AT1G04357,null,lncRNA,0
AT1G04360,ATL1,protein_coding,2
AT1G04363,null,lncRNA,0
AT1G04367,null,lncRNA,0
AT1G04370,ERF14,protein_coding,1
AT1G04373,null,lncRNA,0
AT1G04377,null,lncRNA,0
AT1G04380,null,protein_coding,0
AT1G04383,null,lncRNA,0
AT1G04387,null,lncRNA,0
AT1G04390,null,protein_coding,0
AT1G04393,null,miRNA,166
AT1G04397,null,lncRNA,0
AT1G04400,CRY2,protein_coding,32
AT1G04403,null,lncRNA,0
AT1G04407,null,lncRNA,0
AT1G04410,MDH1,protein_coding,117
AT1G04413,null,lncRNA,0
AT1G04417,null,lncRNA,0
AT1G04420,null,protein_coding,1
AT1G04423,null,miRNA,80
AT1G04425,null,ncRNA,2
AT1G04427,null,lncRNA,0
AT1G04430,null,protein_coding,31
AT1G04433,null,lncRNA,0
AT1G04437,null,lncRNA,0
AT1G04440,CKL13,protein_coding,18
AT1G04443,null,lncRNA,0
AT1G04445,null,protein_coding,0
AT1G04447,null,lncRNA,0
AT1G04450,RIC3,protein_coding,0
AT1G04453,null,lncRNA,0
AT1G04455,null,protein_coding,0
AT1G04463,null,lncRNA,0
AT1G04467,null,lncRNA,0
AT1G04470,null,protein_coding,0
AT1G04473,null,lncRNA,1
AT1G04477,null,lncRNA,0
AT1G04480,RPL23A,protein_coding,7
AT1G04483,null,lncRNA,0
AT1G04487,null,lncRNA,0
AT1G04490,null,protein_coding,0
AT1G04493,null,lncRNA,0
AT1G04497,null,lncRNA,0
AT1G04500,null,protein_coding,0
AT1G04503,null,lncRNA,0
AT1G04507,null,lncRNA,0
AT1G04510,PRP19A,protein_coding,4
AT1G04513,null,lncRNA,0
AT1G04517,null,snoRNA,297
AT1G04520,CRRSP3,protein_coding,2
AT1G04523,null,lncRNA,0
AT1G04527,null,snoRNA,341
AT1G04530,TPR4,protein_coding,0
AT1G04533,null,lncRNA,0
AT1G04537,null,lncRNA,0
AT1G04540,null,protein_coding,0
AT1G04547,null,snoRNA,0
AT1G04550,IAA12,protein_coding,2
AT1G04555,null,protein_coding,0
AT1G04557,null,lncRNA,0
AT1G04560,null,protein_coding,0
AT1G04563,null,lncRNA,0
AT1G04567,null,lncRNA,0
AT1G04570,null,protein_coding,0
AT1G04573,null,lncRNA,0
AT1G04577,null,lncRNA,0
AT1G04580,AAO4,protein_coding,0
AT1G04583,null,lncRNA,0
AT1G04587,null,lncRNA,0
AT1G04590,null,protein_coding,0
AT1G04593,null,lncRNA,0
AT1G04597,null,lncRNA,0
AT1G04600,XI-A,protein_coding,0
AT1G04603,null,lncRNA,0
AT1G04607,null,lncRNA,0
AT1G04610,YUC3,protein_coding,1
AT1G04620,HCAR,protein_coding,0
AT1G04623,null,lncRNA,0
AT1G04625,null,protein_coding,0
AT1G04630,MEE4,protein_coding,3
AT1G04635,EMB1687,protein_coding,2
AT1G04640,LIP2,protein_coding,2
AT1G04643,null,lncRNA,0
AT1G04645,SPH5,protein_coding,0
AT1G04647,null,lncRNA,0
AT1G04650,null,protein_coding,1
AT1G04653,null,lncRNA,0
AT1G04657,null,lncRNA,0
AT1G04660,null,protein_coding,1
AT1G04667,null,lncRNA,0
AT1G04670,null,protein_coding,1
AT1G04673,null,lncRNA,0
AT1G04677,null,lncRNA,0
AT1G04680,null,protein_coding,16
AT1G04683,null,lncRNA,0
AT1G04687,null,lncRNA,0
AT1G04690,KAB1,protein_coding,9
AT1G04693,null,lncRNA,0
AT1G04697,null,lncRNA,0
AT1G04700,null,protein_coding,2
AT1G04703,null,lncRNA,0
AT1G04707,null,lncRNA,0
AT1G04710,KAT1,protein_coding,3
AT1G04713,null,lncRNA,0
AT1G04717,null,lncRNA,1
AT1G04720,null,tRNA,2
AT1G04723,null,lncRNA,1
AT1G04730,CTF18,protein_coding,0
AT1G04733,null,snRNA,0
AT1G04737,null,lncRNA,0
AT1G04743,null,lncRNA,0
AT1G04747,null,lncRNA,0
AT1G04750,VAMP721,protein_coding,5
AT1G04753,null,lncRNA,0
AT1G04760,VAMP726,protein_coding,1
AT1G04763,null,lncRNA,0
AT1G04767,null,lncRNA,0
AT1G04770,null,protein_coding,4
AT1G04773,null,lncRNA,0
AT1G04778,null,protein_coding,2
AT1G04780,null,protein_coding,5
AT1G04783,null,lncRNA,1
AT1G04787,null,lncRNA,0
AT1G04790,null,protein_coding,3
AT1G04793,null,lncRNA,0
AT1G04797,null,lncRNA,0
AT1G04800,null,protein_coding,5
AT1G04803,null,lncRNA,0
AT1G04807,null,lncRNA,0
AT1G04810,RPN2B,protein_coding,13
AT1G04813,null,lncRNA,0
AT1G04817,null,lncRNA,0
AT1G04820,TUBA4,protein_coding,24
AT1G04823,null,lncRNA,0
AT1G04827,null,lncRNA,0
AT1G04830,null,protein_coding,1
AT1G04833,null,lncRNA,0
AT1G04837,null,lncRNA,0
AT1G04840,PCMP-H64,protein_coding,0
AT1G04847,null,lncRNA,0
AT1G04850,null,protein_coding,11
AT1G04853,null,lncRNA,1
AT1G04857,null,lncRNA,0
AT1G04860,UBP2,protein_coding,3
AT1G04863,null,lncRNA,0
AT1G04867,null,ncRNA,0
AT1G04870,PRMT10,protein_coding,0
AT1G04873,null,lncRNA,0
AT1G04877,null,lncRNA,0
AT1G04880,HMGB15,protein_coding,0
AT1G04883,null,lncRNA,0
AT1G04887,null,lncRNA,0
AT1G04890,null,protein_coding,0
AT1G04893,null,lncRNA,0
AT1G04895,null,protein_coding,0
AT1G04897,null,snRNA,0
AT1G04900,null,protein_coding,1
AT1G04907,null,snRNA,3
AT1G04910,OFUT1,protein_coding,2
AT1G04913,null,lncRNA,0
AT1G04917,null,lncRNA,0
AT1G04920,SPS3,protein_coding,0
AT1G04923,null,lncRNA,1
AT1G04927,null,lncRNA,0
AT1G04930,null,protein_coding,4
AT1G04933,null,lncRNA,0
AT1G04937,null,lncRNA,0
AT1G04940,TIC20-I,protein_coding,0
AT1G04943,null,lncRNA,0
